smiles,measured log solubility in mols per litre
CCCC(C)=O,-0.19
ClC1:C:C(Cl):C(Cl):C(C2:C(Cl):C(Cl):C:C(Cl):C:2Cl):C:1Cl,-9.15
CCCOC(=O)CC,-0.82
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68
NC1:C:C:C(O):C:C:1,-0.8
O=C(CN1:C:C:N:C:1[N+](=O)[O-])NCC1:C:C:C:C:C:1,-2.81
O=C1C(O)=C(C2CCC(C3:C:C:C(Cl):C:C:3)CC2)C(=O)C2:C:C:C:C:C:21,-5.931
CCNC1:N:C(Cl):N:C(N(CC)CC):N:1,-4.06
NC(=O)C1:C:N:C:C:N:1,-0.667
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
ClC1:C:C:C:C:C:1C1:C:C:C:C:C:1Cl,-5.27
O=C1CN(N=CC2:C:C:C([N+](=O)[O-]):O:2)C(=O)N1,-3.38
O=[N+]([O-])C1:C:C:C(OC2:C:C:C(Cl):C:C:2Cl):C:C:1,-5.46
CC12CCC(CC1=O)C2(C)C,-1.96
C=CCC1(C2:C:C:C:C:C:2)C(=O)NC(=O)NC1=O,-2.369
CCCCC(=O)OCC,-2.25
CC(=O)OCCC(C)C,-1.92
CCCCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-5.886
ClC1:C:C:C:C(C2:C:C(Cl):C:C:C:2Cl):C:1,-6.01
CCCBr,-1.73
CCCC1COC(CN2:C:N:C:N:2)(C2:C:C:C(Cl):C:C:2Cl)O1,-3.493
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
CC1:N:C:N:C2:N:C:C:N:C:1:2,-0.466
NC(N)=S,0.32
CC1:C:C:C(C):C:C:1,-2.77
CCC1:C:C:C:C:C:1CC,-3.28
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
CC(C)C(C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1)C1:C:C:C(OC(F)F):C:C:1,-6.876
CCC[N+](=O)[O-],-0.8
CC1CCC(C(C)C)C(=O)C1,-2.35
CCN1C2:C:C(Cl):C:C:C:2NC(=O)C2:C:C:C:N:C:21,-5.36
O=[N+]([O-])C1:C:C:C:C(Cl):C:1Cl,-3.48
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46
C1:C:C:C2:C(:C:1)C1:C:C:C:C3:C:C:C:C2:C:1:3,-6
CCCOC(C)C,-1.34
CC1:C:C(C):C2:C:C:C:C:C:2:C:1,-4.29
CCC(=C(CC)C1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1,-4.07
N#CC1:C(Cl):C(Cl):C(Cl):C(C#N):C:1Cl,-5.64
ClC1:C:C:C(Cl):C(C2:C:C:C(Cl):C(Cl):C:2):C:1,-7.25
C1:C:C:C(C2CO2):C:C:1,-1.6
CC(C)C1:C:C:C:C:C:1,-3.27
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45
ClC1:C(Cl):C(Cl):C2:N:C:C:N:C:2:C:1Cl,-5.43
OC1COC(O)C(O)C1O,0.39
ClCCl,-0.63
CCC1:C:C:C:C2:C:C:C:C:C:1:2,-4.17
COC=O,0.58
O=[N+]([O-])C1:C:C:C:C:C:1O,-1.74
CC1:C:[NH]:C(=O):[NH]:C:1=O,-1.506
CC(C)C,-2.55
OCC1OC(N2:C:N:C3:C(O):N:C:N:C:3:2)C(O)C1O,-1.23
N#CC1:C:C(I):C(O):C(I):C:1,-3.61
O=C(NC1:C:C:C([N+](=O)[O-]):C:C:1Cl)C1:C:C(Cl):C:C:C:1O,-4.7
CCCCC,-3.18
OC1:C:C:C:C:C:1,0
NC1:C:C:C2:C:C3:C:C:C:C:C:3:C:C:2:C:1,-5.17
CN1:C:N:C2:C:1:C(=O):[NH]:C(=O):N:2C,-2.523
C1:C:C:C2:C:N:C:C:C:2:C:1,-1.45
COP(=S)(OC)SCC(=O)N(C1:C:C:C(Cl):C:C:1)C(C)C,-4.432
CCCCCCC1:C:C:C:C:C:1,-5.21
ClC1:C:C:C:C:C:1C1:C:C:C:C:C:1,-4.54
C=C(C)CCC,-3.03
CC(C)C(C)C(C)C,-4.8
ClC1:C:C(Cl):C(Cl):C(Cl):C:1Cl,-5.65
O=[N+]([O-])C1:C:C:C:C(O):C:1,-1.01
C=CCCCCCCCC,-5.51
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
CCCCC1:C(C):N:C(N(C)C):N:C:1O,-2.24
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1:C:C:C(F):C(OC2:C:C:C:C:C:2):C:1,-7.337
C1:C:C:N:C:C:1,0.76
CCCCCCCBr,-4.43
CC1:C:C:N:C:C:1C,0.36
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43
CCSCC1:C:C:C:C:C:1OC(=O)NC,-2.09
CCOC(=O)CC(=O)OCC,-0.82
C=C(C)C1CC=C(C)CC1,-4.26
C1:C:C:C2:C(:C:1)CCC2,-3.04
CC(C)(C)C1:C:C:C(O):C:C:1,-2.41
O=C1NC(=O)C2(CC2)C(=O)N1,-1.886
ClC1:C:C:C:C(I):C:1,-3.55
BrC1:C:C:C:C2:C:C:C:C:C:1:2,-4.35
C/C=C/CC,-2.54
CC1:C:C:C:C(C):N:1,0.45
ClC=C(Cl)Cl,-1.96
NC1:C:C:C:C2:C:C:C:C:C:1:2,-1.92
CC1:C:C:C:C(C):C:1,-2.82
OC1:N:C:C2:N:C:C:N:C:2:N:1,-1.947
CO,1.57
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
CCC(C)=O,0.52
O=C1:[NH]:C:C(F):C(=O):[NH]:1,-1.077
NC1:N:C:N:C2:C:1:C:C:N:2C1OC(CO)C(O)C1O,-1.95
OC1:C:C:C:C(O):C:1,0.81
CCCCCCO,-1.24
CCCCCCl,-2.73
C=CC=C,-1.87
CCCOC(C)=O,-0.72
OC1:C:C:C2:C(:C:1)CCCC2,-1.99
NC(=O)CCl,-0.02
COP(=S)(OC)OC1:C:C(Cl):C(I):C:C:1Cl,-6.62
CC1:C:C:C(Cl):C:C:1,-3.08
CSC1:N:N:C(C(C)(C)C):C(=O):N:1N,-2.253
CC1:C:C:C(OP(=O)(OC2:C:C:C:C(C):C:2)OC2:C:C:C:C:C:2C):C:C:1,-6.01
CCCCCC=O,-1.3
CCCCOC(=O)C1:C:C:C(N):C:C:1,-3.082
CC1:C:C:C2:C(:C:1)OC1:N:C:C(N):C:C:1C(=O)N2C,-3.043
CC(C)=CCC/C(C)=C\CO,-2.46
ClC1:C:C:C(C2:C:C:C:C:C:2Cl):C:C:1,-5.28
CCCCCCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-6.523
CC[N+](=O)[O-],-0.22
C=C(C)CN(CC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-6.124
ClC1:C:C:C(Cl):C(Cl):C:1Cl,-4.57
CCCC(C)(COC(N)=O)COC(N)=O,-1.807
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65
CI,-1
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13
CCCCCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-6.301
CC1=CC(=O)CC(C)(C)C1,-1.06
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39
CCCCC(=O)CCCC,-2.58
CCC1(C2:C:C:C:C:C:2)CCC(=O)NC1=O,-2.337
CCC(C)CC,-3.68
CCOC1:C:C:C(C(C)(C)COCC2:C:C:C:C(OC3:C:C:C:C:C:3):C:2):C:C:1,-8.6
CC1:C:C:C:C:C:1N1:C(C):N:C2:C:C:C:C:C:2:C:1=O,-2.925
N#CCCl,-0.092
CCOP(=S)(CC)OC1:C:C(Cl):C(Cl):C:C:1Cl,-5.752
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66
C1:C:C:N:N:C:1,1.1
ClC1:C:C(Cl):C(Cl):C(Cl):C:1,-4.63
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32
NC1:C:C:C:C:C:1O,-0.72
CCCCCCCCC(=O)OCC,-3.8
COCC(=O)N(C1:C(C):C:C:C:C:1C)C(C)C(=O)OC,-1.601
CNC(=O)OC1:C:C:C:C:C:1OC(C)C,-2.05
CCC(C)Cl,-1.96
OC1:C:C:C2:C:C:C:C:C:2:C:1,-2.28
CC(C)OC1:C:C(N2:N:C(C(C)(C)C):O:C:2=O):C(Cl):C:C:1Cl,-5.696
C#CCCCC,-2.36
C#CCCCCCCC,-4.24
CC1:C:C:C:C:C:1Cl,-3.52
CC(C)OC(C)C,-1.1
NC1:C:C:C(S(=O)(=O)C2:C:C:C(N):C:C:2):C:C:1,-3.094
CNN,1.34
C#CC,-0.41
CCOP(=S)(OCC)ON=C(C#N)C1:C:C:C:C:C:1,-4.862
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408
C=CC=O,0.57
O=C1:[NH]:C:N:C2:N:C:[NH]:C:1:2,-2.296
OC1:C:C:C2:N:C:C:C:C:2:C:1,-2.16
FC1:C:C:C:C:C:1,-1.8
CCCCl,-1.47
CCOC(C)=O,-0.04
CCCC(C)(C)C,-4.36
CC1:C:C(C):C(C):C(C):C:1C,-4
CC12CCC(CC1)C(C)(C)O2,-1.64
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
ClC1:C:C:C(C2:C:C:C(Cl):C:C:2):C:C:1,-6.56
CC1:C:C:C:N:C:1C,0.38
C=C(C)C1CC=C(C)C(=O)C1,-2.06
CCOP(=S)(OCC)SCSC1:C:C:C(Cl):C:C:1,-5.736
COC1:C:C(C2C3:C:C4:C(:C:C:3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4):C:C(OC):C:1O,-3.571
C1:C:C2:C:C:C:C3:C4:C:C:C:C5:C:C:C:C(:C(:C:1):C:2:3):C:5:4,-8.804
CC1:C:C:C([N+](=O)[O-]):C:C:1[N+](=O)[O-],-2.82
BrC1:C:C:C2:C:C:C:C:C:2:C:1,-4.4
CNC(=O)OC1:C:C:C:C(N=CN(C)C):C:1,-2.34
COC1:C:N:C2:N:C:N:C:C:2:N:1,-1.139
CC1:C:C:N:C2:C:1NC(=O)C1:C:C:C:N:C:1N2C1CC1,-3.19
CCOP(=S)(OCC)OC1:N:C(Cl):N(C(C)C):N:1,-3.658
C=CC(=C)C,-2.03
C=CC(C)(O)CCC=C(C)C,-1.99
COP(=S)(OC)OC1:C:C:C(SC):C(C):C:1,-4.57
OC1CCCCC1,-0.44
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16
OCC(O)C(O)C(O)C(O)CO,0.06
CC1:C:C:C(C2:C:C:C:C:C:2):C:C:1,-4.62
CCNC1:N:C(Cl):N:C(NC(C)C):N:1,-3.85
NC(=S)NC1:C:C:C:C:C:1,-1.77
CCCC(=O)CCC,-1.3
CC(=O)C(C)(C)C,-0.72
OC1:C:C:C(Cl):C:C:1,-0.7
O=C1CCCCC1,-0.6
CC1:C:C:C:C(N):C:1,-0.85
N#CC(Cl)(Cl)Cl,-2.168
CNC1:C:N:N(C2:C:C:C:C(C(F)(F)F):C:2):C(=O):C:1Cl,-4.046
CCCCCCCCC(C)=O,-3.3
CCN(CC)C1:N:C(Cl):N:C(NC(C)C):N:1,-3.785
CCOC(=O)C1:C:C:C(N):C:C:1,-2.616
ClC1:C:C:C(Cl):C(Cl):C:1,-3.59
CC1:N:N:C2:N:1C1:C:C:C(Cl):C:C:1C(C1:C:C:C:C:C:1Cl)=NC2,-4.09
OC1:C:C:C:C:C:1O,0.62
CCN1C2:N:C:C:C:C:2C(=O)N(C)C2:C:C:C:N:C:21,-2.62
CSC,-0.45
CC1:C:C:C:C:C:1Br,-2.23
CCOC(N)=O,0.85
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35
CC(C)C(O)C(C)C,-1.22
C1:C:C:C2:C:C:C:C:C:2:C:1,-3.6
CCNC1:C:C:C:C:C:1,-1.7
O=C1NC(=O)C(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)N1,-4.097
CC1:C2:C:C:C:C:C:2:C(C):C2:C:1:C:C:C1:C:C:C:C:C:1:2,-7.02
CCOP(=S)(OCC)SC(CCl)N1C(=O)C2:C:C:C:C:C:2C1=O,-6.34
COC1:C:C:C(C(C2:C:C:C(OC):C:C:2)C(Cl)(Cl)Cl):C:C:1,-6.89
O=C(NC(=O)C1:C(F):C:C:C:C:1F)NC1:C:C(Cl):C(F):C(Cl):C:1F,-7.28
CCCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,-4.678
CN(C)C(=O)NC1:C:C:C(Cl):C:C:1,-2.89
OC(CN1:C:N:C:N:1)(C1:C:C:C(F):C:C:1)C1:C:C:C:C:C:1F,-3.37
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13
CCCCBr,-2.37
BrC1:C:C(Br):C(Br):C:C:1Br,-6.98
CC(=O)CC(C)C,-0.74
CCSC(=O)N(CC)C1CCCCC1,-3.4
COC1:C:C:C(Cl):C:C:1,-2.78
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1,-8.402
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016
COP(=S)(OC)OC1:C:C:C([N+](=O)[O-]):C(C):C:1,-4.04
IC1:C:C:C:C2:C:C:C:C:C:1:2,-4.55
OCC(O)C(O)C(O)C(O)CO,1.09
CCS,-0.6
ClCC(Cl)Cl,-1.48
CC1:C:C(OC(=O)N(C)C):N(C2:C:C:C:C:C:2):N:1,-2.09
NC(=O)C1:C:C:C:C:C:1O,-1.82
CC1:C:C:C:C:C:1[N+](=O)[O-],-2.33
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766
CCC1:C:C:C:C:C:1C,-3.21
CCCCCCCCl,-4
CCC1(CC)C(=O)NC(=O)NC1=O,-2.4
C1:C:C:C(CCC2:C:C:C:C:C:2):C:C:1,-4.62
ClC(Cl)C(Cl)Cl,-1.74
CCN1C2:C:C(OC):C:C(C):C:2NC(=O)C2:C:C:C:N:C:21,-5.153
CC1:C:C:C2:C(:C:C:C3:C:C:C:C:C:3:2):C:1,-5.84
CCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCC,-4.4
COC1:C(O):C(Cl):C(Cl):C(Cl):C:1Cl,-4.02
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523
CC12CCC3C(=CCC4:C:C(O):C:C:C:43)C1CCC2=O,-5.282
CCOC(=O)C1:C:C:C:C:C:1S(=O)(=O)NN(C=O)C1:N:C(Cl):C:C(OC):N:1,-4.576
COC1:C:C:C([N+](=O)[O-]):C:C:1,-2.41
CCCCCCCl,-3.12
ClC1:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C(Cl):C:1Cl,-9.16
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
CCN1C2:C:C:C:C:C:2N(C)C(=O)C2:C:C:C:N:C:21,-3.324
CC(Cl)Cl,-1.29
NC1:C:C:C(S(N)(=O)=O):C:C:1,-1.34
CCCN(CCC)C1:C([N+](=O)[O-]):C:C(C(C)C):C:C:1[N+](=O)[O-],-6.49
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
CCOP(=S)(NC(C)C)OC1:C:C:C:C:C:1C(=O)OC(C)C,-4.194
ClC1:C:C:C:C(Cl):C:1Cl,-4
ClC(Cl)(Cl)Cl,-2.31
O=[N+]([O-])C1:C:C:C(Cl):C(Cl):C:1,-3.2
OC1CCCCCCC1,-1.29
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999
CCOC1:C:C:C(NC(N)=O):C:C:1,-2.17
CC1CCC(C)CC1,-4.47
C1:C:N:C2:C(:C:1):C:C:C1:N:C:C:C:C:1:2,-2.68
COC(C)(C)C,-0.24
CC=CC1:C:C:C(OC):C:C:1,-3.13
CCCCCCCCCCCCCCCCO,-7
O=C1:C:C:[NH]:C(=O):[NH]:1,-1.488
NC1:N:C:N:C2:N:C:[NH]:C:1:2,-2.12
ClC1:C:C(Cl):C(C2:C:C:C:C(Cl):C:2Cl):C:C:1Cl,-7.21
COC1:C:C:C(C(O)(C2:C:N:C:N:C:2)C2CC2):C:C:1,-2.596
C1:C:C:C2:C(:C:1)C1:C:C:C:C3:C:1:C2:C:C1:C:C:C:C:C:1:3,-8.23
O=C(NC1:C:C:C:C:C:1)NC1:C:C:C:C:C:1,-3.15
CCC1(C2:C:C:C:C:C:2)C(=O)NC(=O)NC1=O,-2.322
ClC1:C:C:C(C2:C:C:C:C(Cl):C:2Cl):C:C:1,-6.29
CC(C)C1:C:C:C(NC(=O)N(C)C):C:C:1,-3.536
CCN(CC)C(=O)CSC1:C:C:C(Cl):N:N:1,-1.716
CCC(C)(C)CO,-1.04
CCCOC(=O)CCC,-1.75
CC1:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:C:1[N+](=O)[O-],-3.22
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1:C:C:C:C:C:1,-4.2
C1CCCCCC1,-3.51
CCCOC=O,-0.49
CC1:C:C:C:C:C:1C(C)C,-3.76
NC1:C:C:C:C(Cl):C:1,-1.37
CC(C)CC(C)C,-4.26
C1:C:C:C2:C(:C:1):O:C1:C:C:C:C:C:1:2,-4.6
CCOC1OC2:C:C:C(OS(C)(=O)=O):C:C:2C1(C)C,-3.42
CN(C)C(=O)NC1:C:C:C:C(C(F)(F)F):C:1,-3.43
C1:C:C:C2:N:C3:C:C:C:C:C:3:C:C:2:C:1,-3.67
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
OCC1OC(O)C(O)C(O)C1O,0.74
CC1:C:C:C:C(O):C:1,-0.68
CC1CC2:C:C:C:C:C:2N1NC(=O)C1:C:C:C(Cl):C(S(N)(=O)=O):C:1,-3.586
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005
O=[N+]([O-])C1:C:C:C([N+](=O)[O-]):C:C:1,-3.39
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696
CCCCCCCCCC(=O)OCC,-4.1
CN(C)C(=O)NC1:C:C:C:C:C:1,-1.6
CCCOCC,-0.66
CC(C)O,0.43
CC1:C:C:C2:C:C:C:C:C:2:C:1,-3.77
ClC(Br)Br,-1.9
CCC(C1:C:C:C(O):C:C:1)C(CC)C1:C:C:C(O):C:C:1,-4.43
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
ClCC1:C:C:C:C:C:1,-2.39
C/C=C/C=O,0.32
CON(C)C(=O)NC1:C:C:C(Br):C(Cl):C:1,-3.924
CC1:C2:C:C:C:C:C:2:C(C):C2:C:C:C:C:C:1:2,-6.57
CCCCCC(=O)OC,-1.87
CN(C)C(=O)NC1:C:C:C(N2:N:C(C(C)(C)C):O:C:2=O):C(Cl):C:1,-4.328
CC(=O)NC1:C:C:C(F):C:C:1,-1.78
CCC1:C:C:C:C(CC):C:1N(COC)C(=O)CCl,-3.26
C1=CCCCC1,-2.59
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09
C1:C:N:C:N:C:1,1.1
O=[N+]([O-])C1:C:C:C(Cl):C:C:1,-2.92
CCC(=O)OC,-0.14
O=[N+]([O-])C1:C:C:C:C:C:1Cl,-2.55
CCCCN(C)C(=O)NC1:C:C:C(Cl):C(Cl):C:1,-4.77
CN1CC(O)N(C2:N:N:C(C(C)(C)C):S:2)C1=O,-1.877
O=[N+]([O-])C1:C:C:C:C:C:1,-1.8
IC1:C:C:C:C:C:1,-3.01
CC1:C:C:C:C:C:1N1C(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2NC1C,-3.78
COC1:C:C:C:C:C:1OCC(O)COC(N)=O,-0.985
CCCCOCN(C(=O)CCl)C1:C(CC):C:C:C:C:1CC,-4.19
OC1:C:C:C:C(Cl):C:1Cl,-1.3
CCCC(=O)OC,-1.92
CCC(=O)NC1:C:C:C(Cl):C(Cl):C:1,-3
NC1:N:C(N):C2:N:C(C3:C:C:C:C:C:3):C(N):N:C:2:N:1,-2.404
CCCCCC(=O)OCC,-2.35
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84
CC1:C:C:C(N=CN(C)C=NC2:C:C:C(C):C:C:2C):C(C):C:1,-5.47
COC1:N:C(NC(C)C):N:C(NC(C)C):N:1,-2.478
C=CCCCCCC,-4.44
CC1:C:C:C(N):C:C:1,-1.21
NC1:N:C:C:S:1,-0.36
CNC(=O)OC1:C:C:C:C:C:1,-1.803
CCCC(O)CC,-0.8
OC1:C2:C:C:C:C:C:2:C:C2:C:C:C:C:C:1:2,-4.73
CC1:C:C:C2:C:C3:C:C:C:C:C:3:C:C:2:C:1,-6.96
CC1:C:C:C:C(C):C:1C,-3.2
CNC(=O)OC1:C:C:C(N(C)C):C(C):C:1,-2.36
CCCCCCCC(C)O,-2.74
CN(C(=O)NC(C)(C)C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,-3.35
CCCC(=O)CC,-0.83
N#CC1:C:C(Br):C(O):C(Br):C:1,-3.33
ClC1:C:C:C(C2:C:C:C:C:C:2):C:C:1Cl,-6.39
CN(C(=O)COC1:N:C2:C:C:C:C:C:2:S:1)C1:C:C:C:C:C:1,-4.873
OC1:C:C:C:C2:N:C:C:C:C:1:2,-2.54
CC1=C(C(=O)NC2:C:C:C:C:C:2)SCCO1,-3.14
CCOC1:C:C:C2:N:C(S(N)(=O)=O):S:C:2:C:1,-3.81
OC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl,-4.28
ClCBr,-0.89
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63
NC(=O)NCC1:C:C:C:C:C:1,-0.95
CC1:C:C:C(NC(=O)N(C)C):C:C:1Cl,-3.483
CON(C)C(=O)NC1:C:C:C(Cl):C(Cl):C:1,-3.592
OC1CCCCCC1,-0.88
CS(=O)(=O)C1:C:C:C(C(O)C(CO)NC(=O)C(Cl)Cl):C:C:1,-2.154
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CC(=O)NC1:N:N:C(S(N)(=O)=O):S:1,-2.36
O=[N+]([O-])C1:C:C:C(O):C:C:1,-0.74
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307
C1CCOC1,0.49
NC1:C:C:C:C:C:1[N+](=O)[O-],-1.96
ClC1:C:C:C:C(C2:C:C:C:C(Cl):C:2Cl):C:1Cl,-7.28
CCCCC1C(=O)N(C2:C:C:C:C:C:2)N(C2:C:C:C:C:C:2)C1=O,-3.81
